Car_Name,Year,Selling_Price,Sales_in_thousands,Kms_Driven
ritz,2014,3.35,16.919,27000
sx4,2013,4.75,39.384,43000
ciaz,2017,7.25,14.114,6900
wagon r,2011,2.85,8.588,5200
swift,2014,4.6,20.397,42450
vitara brezza,2018,9.25,18.78,2071
ciaz,2015,6.75,1.38,18796
s cross,2015,6.5,19.747,33429
ciaz,2016,8.75,9.231,20273
ciaz,2015,7.45,17.527,42367
alto 800,2017,2.85,91.561,2135
ciaz,2015,6.85,39.35,51000
ciaz,2015,7.5,27.851,15000
ertiga,2015,6.1,83.257,26000
dzire,2009,2.25,63.729,77427
ertiga,2016,7.75,15.943,43000
ertiga,2015,7.25,6.536,41678
ertiga,2016,7.75,11.185,43000
wagon r,2015,3.25,14.785,35500
sx4,2010,2.65,145.519,41442
alto k10,2016,2.85,135.126,25000
ignis,2017,4.9,24.629,2400
sx4,2011,4.4,42.593,50000
alto k10,2014,2.5,26.402,45280
wagon r,2013,2.9,17.947,56879
swift,2011,3,32.299,20000
swift,2013,4.15,21.855,55138
swift,2017,6,107.995,16200
alto k10,2010,1.95,7.854,44542
ciaz,2015,7.45,32.775,45000
ritz,2012,3.1,31.148,51439
ritz,2011,2.35,32.306,54200
swift,2014,4.95,13.462,39000
ertiga,2014,6,53.48,45000
dzire,2014,5.5,30.696,45000
sx4,2011,2.95,76.034,49998
dzire,2015,4.65,4.734,48767
800,2003,0.35,71.186,127000
alto k10,2016,3,88.028,10079
sx4,2003,2.25,0.916,62000
baleno,2016,5.85,227.061,24524
alto k10,2014,2.55,16.767,46706
sx4,2008,1.95,31.038,58000
dzire,2014,5.5,111.313,45780
omni,2012,1.25,101.323,50000
ciaz,2014,7.5,181.749,15000
ritz,2013,2.65,70.227,64532
wagon r,2006,1.05,113.369,65000
ertiga,2015,5.8,35.068,25870
ciaz,2017,7.75,245.815,37000
fortuner,2012,14.9,175.67,104707
fortuner,2015,23,63.403,40000
innova,2017,18,276.747,15000
fortuner,2013,16,155.787,135000
innova,2005,2.75,125.338,90000
corolla altis,2009,3.6,220.65,70000
etios cross,2015,4.5,540.561,40534
corolla altis,2010,4.75,199.685,50000
etios g,2014,4.1,230.902,39485
fortuner,2014,19.99,73.203,41000
corolla altis,2013,6.95,12.855,40001
etios cross,2015,4.5,76.029,40588
fortuner,2014,18.75,41.184,78000
fortuner,2015,23.5,66.692,47000
fortuner,2017,33,29.45,6000
etios liva,2014,4.75,23.713,45000
innova,2017,19.75,15.467,11000
fortuner,2010,9.25,55.557,59000
corolla altis,2011,4.35,80.556,88000
corolla altis,2016,14.25,157.04,12000
etios liva,2014,3.95,24.072,71000
corolla altis,2011,4.5,12.698,45000
corolla altis,2013,7.45,3.334,56001
etios liva,2011,2.65,6.375,43000
etios cross,2014,4.9,9.126,83000
etios g,2015,3.95,51.238,36000
corolla altis,2013,5.5,13.798,72000
corolla,2004,1.5,48.911,135154
corolla altis,2010,5.25,22.925,80000
fortuner,2012,14.5,26.232,89000
corolla altis,2016,14.73,42.541,23000
etios gd,2015,4.75,55.616,40000
innova,2017,23,5.711,15000
innova,2015,12.5,0.11,38000
innova,2005,3.49,11.337,197176
camry,2006,2.5,39.348,142000
land cruiser,2010,35,14.351,78000
corolla altis,2012,5.9,26.529,56000
etios liva,2013,3.45,67.956,47000
etios g,2014,4.75,81.174,40000
corolla altis,2009,3.8,27.609,62000
innova,2014,11.25,20.38,58242
innova,2005,3.51,18.392,75000
fortuner,2015,23,27.602,40000
corolla altis,2008,4,16.774,89000
corolla altis,2012,5.85,3.311,72000
innova,2016,20.75,7.998,29000
corolla altis,2017,17,1.526,8700
corolla altis,2013,7.05,11.592,45000
fortuner,2010,9.65,0.954,50024
Royal Enfield Thunder 500,2016,1.75,28.976,3000
UM Renegade Mojave,2017,1.7,42.643,1400
KTM RC200,2017,1.65,88.094,4000
Bajaj Dominar 400,2017,1.45,79.853,1200
Royal Enfield Classic 350,2017,1.35,27.308,4100
KTM RC390,2015,1.35,42.574,21700
Hyosung GT250R,2014,1.35,54.158,16500
Royal Enfield Thunder 350,2013,1.25,65.005,15000
Royal Enfield Thunder 350,2016,1.2,1.112,18000
Royal Enfield Classic 350,2017,1.2,38.554,11000
KTM RC200,2016,1.2,80.255,6000
Royal Enfield Thunder 350,2016,1.15,14.69,8700
KTM 390 Duke ,2014,1.15,20.017,7000
Mahindra Mojo XT300,2016,1.15,24.361,35000
Royal Enfield Classic 350,2015,1.15,32.734,17000
Royal Enfield Classic 350,2015,1.11,5.24,17500
Royal Enfield Classic 350,2013,1.1,24.155,33000
Royal Enfield Thunder 500,2015,1.1,1.872,14000
Royal Enfield Classic 350,2015,1.1,51.645,26000
Royal Enfield Thunder 500,2013,1.05,131.097,5400
Bajaj Pulsar RS200,2016,1.05,19.911,5700
Royal Enfield Thunder 350,2011,1.05,92.364,6900
Royal Enfield Bullet 350,2016,1.05,35.945,6000
Royal Enfield Classic 350,2013,1,39.572,46500
Royal Enfield Classic 500,2012,0.95,8.982,11500
Royal Enfield Classic 500,2009,0.9,1.28,40000
Bajaj Avenger 220,2017,0.9,1.866,1300
Bajaj Avenger 150,2016,0.75,9.191,7000
Honda CB Hornet 160R,2017,0.8,12.115,3000
Yamaha FZ S V 2.0,2017,0.78,80.62,5000
Honda CB Hornet 160R,2017,0.75,24.546,11000
Yamaha FZ 16,2015,0.75,5.223,18000
Bajaj Avenger 220,2017,0.75,8.472,3500
Bajaj Avenger 220,2016,0.72,49.989,500
TVS Apache RTR 160,2017,0.65,47.107,11800
Bajaj Pulsar 150,2015,0.65,33.028,5000
Honda CBR 150,2014,0.65,142.535,23500
Hero Extreme,2013,0.65,247.994,16000
Honda CB Hornet 160R,2016,0.6,63.849,15000
Bajaj Avenger 220 dtsi,2015,0.6,33.269,16600
Honda CBR 150,2013,0.6,84.087,32000
Bajaj Avenger 150 street,2016,0.6,65.119,20000
Yamaha FZ  v 2.0,2015,0.6,25.106,29000
Yamaha FZ  v 2.0,2016,0.6,68.411,25000
Bajaj Pulsar  NS 200,2014,0.6,9.835,25000
TVS Apache RTR 160,2012,0.6,9.761,19000
Hero Extreme,2014,0.55,83.721,15000
Yamaha FZ S V 2.0,2015,0.55,51.102,58000
Bajaj Pulsar 220 F,2010,0.52,9.569,45000
Bajaj Pulsar 220 F,2016,0.51,5.596,24000
TVS Apache RTR 180,2011,0.5,49.463,6000
Hero Passion X pro,2016,0.5,16.957,31000
Bajaj Pulsar NS 200,2012,0.5,3.545,13000
Bajaj Pulsar NS 200,2013,0.5,15.245,45000
Yamaha Fazer ,2014,0.5,17.531,8000
Honda Activa 4G,2017,0.48,3.493,4300
TVS Sport ,2017,0.48,18.969,15000
Yamaha FZ S V 2.0,Yamaha FZ S V 2.1,Yamaha FZ S V 2.2,38.42650735,23000
Honda Dream Yuga ,2017,0.48,38.24205711,8600
Honda Activa 4G,2017,0.45,38.05760687,4000
Bajaj Avenger Street 220,2011,0.45,37.87315662,24000
TVS Apache RTR 180,2014,0.45,37.68870638,23000
Bajaj Pulsar NS 200,2012,0.45,37.50425614,14500
Bajaj Avenger 220 dtsi,2010,0.45,37.3198059,27000
Hero Splender iSmart,2016,0.45,37.13535566,14000
Activa 3g,2016,0.45,36.95090542,500
Hero Passion Pro,2016,0.45,36.76645518,1000
TVS Apache RTR 160,2014,0.42,36.58200493,42000
Honda CB Trigger,2013,0.42,36.39755469,12000
Hero Splender iSmart,2015,0.4,36.21310445,14000
Yamaha FZ S ,2012,0.4,36.02865421,5500
Hero Passion Pro,2015,0.4,35.84420397,6700
Bajaj Pulsar 135 LS,2014,0.4,35.65975373,13700
Activa 4g,2017,0.4,35.47530348,1300
Honda CB Unicorn,2015,0.38,35.29085324,38600
Hero Honda CBZ extreme,2011,0.38,35.106403,75000
Honda Karizma,2011,0.35,34.92195276,30000
Honda Activa 125,2016,0.35,34.73750252,24000
TVS Jupyter,2014,0.35,34.55305228,19000
Honda Karizma,2010,0.31,34.36860203,213000
Hero Honda Passion Pro,2012,0.3,34.18415179,60000
Hero Splender Plus,2016,0.3,33.99970155,50000
Honda CB Shine,2013,0.3,33.81525131,30000
Bajaj Discover 100,2013,0.27,33.63080107,21000
Bajaj Pulsar 150,2008,0.25,33.44635083,26000
Suzuki Access 125,2008,0.25,33.26190059,1900
TVS Wego,2010,0.25,33.07745034,22000
Honda CB twister,2013,0.25,32.8930001,32000
Hero Glamour,2013,0.25,32.70854986,18000
Hero Super Splendor,2005,0.2,32.52409962,55000
Bajaj Pulsar 150,2008,0.2,32.33964938,60000
Bajaj Discover 125,2012,0.2,32.15519914,25000
Hero Hunk,2007,0.2,31.97074889,49000
Hero  Ignitor Disc,2013,0.2,31.78629865,24000
Hero  CBZ Xtreme,2008,0.2,31.60184841,50000
Bajaj  ct 100,2015,0.18,31.41739817,35000
Activa 3g,2008,0.17,31.23294793,500000
Honda CB twister,2010,0.16,31.04849769,33000
Bajaj Discover 125,2011,0.15,30.86404745,35000
Honda CB Shine,2007,0.12,30.6795972,53000
Bajaj Pulsar 150,2006,0.1,30.49514696,92233
i20,2010,3.25,30.31069672,58000
grand i10,2015,4.4,30.12624648,28200
i10,2011,2.95,29.94179624,53460
eon,2015,2.75,29.757346,28282
grand i10,2016,5.25,29.57289575,3493
xcent,2017,5.75,29.38844551,12479
grand i10,2015,5.15,29.20399527,34797
i20,2017,7.9,29.01954503,3435
grand i10,2015,4.85,28.83509479,21125
i10,2012,3.1,28.65064455,35775
elantra,2015,11.75,28.4661943,43535
creta,2016,11.25,28.28174406,22671
i20,2011,2.9,28.09729382,31604
grand i10,2017,5.25,27.91284358,20114
verna,2012,4.5,27.72839334,36100
eon,2016,2.9,27.5439431,12500
eon,2016,3.15,27.35949286,15000
verna,2014,6.45,27.17504261,45078
verna,2012,4.5,26.99059237,36000
eon,2017,3.5,26.80614213,38488
i20,2013,4.5,26.62169189,32000
i20,2014,6,26.43724165,77632
verna,2015,8.25,26.25279141,61381
verna,2013,5.11,26.06834116,36198
i10,2011,2.7,25.88389092,22517
grand i10,2015,5.25,25.69944068,24678
i10,2011,2.55,25.51499044,57000
verna,2012,4.95,25.3305402,60000
i20,2012,3.1,25.14608996,52132
verna,2013,6.15,24.96163971,45000
verna,2017,9.25,24.77718947,15001
elantra,2015,11.45,24.59273923,12900
grand i10,2013,3.9,24.40828899,53000
grand i10,2015,5.5,24.22383875,4492
verna,2017,9.1,24.03938851,15141
eon,2016,3.1,23.85493827,11849
creta,2015,11.25,23.67048802,68000
verna,2013,4.8,23.48603778,60241
eon,2012,2,23.30158754,23709
verna,2012,5.35,23.1171373,32322
xcent,2015,4.75,22.93268706,35866
xcent,2014,4.4,22.74823682,34000
i20,2016,6.25,22.56378657,7000
verna,2013,5.95,22.37933633,49000
verna,2012,5.2,22.19488609,71000
i20,2012,3.75,22.01043585,35000
verna,2015,5.95,21.82598561,36000
i10,2013,4,21.64153537,30000
i20,2016,5.25,21.45708513,17000
creta,2016,12.9,21.27263488,35934
city,2013,5,21.08818464,56701
brio,2015,5.4,20.9037344,31427
city,2014,7.2,20.71928416,48000
city,2013,5.25,20.53483392,54242
brio,2012,3,20.35038368,53675
city,2016,10.25,20.16593343,49562
city,2015,8.5,19.98148319,40324
city,2015,8.4,19.79703295,25000
amaze,2014,3.9,19.61258271,36054
city,2016,9.15,19.42813247,29223
brio,2016,5.5,19.24368223,5600
amaze,2015,4,19.05923198,40023
jazz,2016,6.6,18.87478174,16002
amaze,2015,4,18.6903315,40026
jazz,2017,6.5,18.50588126,21200
amaze,2014,3.65,18.32143102,35000
city,2016,8.35,18.13698078,19434
brio,2017,4.8,17.95253054,19000
city,2015,6.7,17.76808029,18828
city,2011,4.1,17.58363005,69341
city,2009,3,17.39917981,69562
city,2015,7.5,17.21472957,27600
jazz,2010,2.25,17.03027933,61203
brio,2014,5.3,16.84582909,16500
city,2016,10.9,16.66137884,30753
city,2015,8.65,16.4769286,24800
city,2015,9.7,16.29247836,21780
jazz,2016,6,16.10802812,4000
city,2014,6.25,15.92357788,40126
brio,2015,5.25,15.73912764,14465
city,2006,2.1,15.5546774,50456
city,2014,8.25,15.37022715,63000
city,2016,8.99,15.18577691,9010
brio,2013,3.5,15.00132667,9800
jazz,2016,7.4,14.81687643,15059
jazz,2016,5.65,14.63242619,28569
amaze,2015,5.75,14.44797595,44000
city,2015,8.4,14.2635257,34000
city,2016,10.11,14.07907546,10980
amaze,2014,4.5,13.89462522,19000
brio,2015,5.4,13.71017498,31427
jazz,2016,6.4,13.52572474,12000
city,2010,3.25,13.3412745,38000
amaze,2014,3.75,13.15682425,33019
city,2015,8.55,12.97237401,60076
city,2016,9.5,12.78792377,33988
brio,2015,4,12.60347353,60000
city,2009,3.35,12.41902329,87934
city,2017,11.5,12.23457305,9000
brio,2016,5.3,12.05012281,5464
